geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
207,C0025286,0.70,1.00,NULL,2013,2019,ALL
207,C0036341,0.90,0.87,limited,2001,2019,ALL
207,C0085261,0.69,1.00,NULL,2008,2019,ALL
207,C0678222,0.70,0.99,NULL,1999,2020,ALL
207,C0919267,0.70,0.97,NULL,2005,2020,ALL
207,C1140680,0.70,0.97,limited,2005,2020,ALL
207,C3554519,0.70,1.00,limited,2013,2013,ALL
208,C0006142,0.60,1.00,NULL,1995,2019,ALL
208,C0011860,0.96,1.00,NULL,2001,2018,ALL
208,C0678222,0.60,1.00,NULL,1995,2019,ALL
208,C3278384,0.70,1.00,NULL,2004,2017,ALL
210,C0268328,0.73,1.00,NULL,1991,2016,ALL
212,C2677889,0.60,1.00,strong,1999,2018,ALL
212,C4551511,0.80,1.00,strong,1992,2019,ALL
213,C0011881,0.60,0.96,NULL,1989,2020,ALL
213,C0342185,0.80,0.94,strong,1986,2019,ALL
215,C0162309,1.00,0.98,definitive,1981,2020,ALL
215,C1527231,0.60,0.97,definitive,1984,2019,ALL
217,C0001973,0.70,1.00,NULL,1991,2019,ALL
217,C0085762,0.60,1.00,NULL,1994,2018,ALL
220,C3554524,0.70,1.00,NULL,2002,2015,ALL
224,C0037231,0.80,1.00,strong,1981,2019,ALL
229,C0016751,0.77,1.00,NULL,1983,2017,ALL
238,C0006118,0.61,1.00,NULL,2009,2012,ALL
238,C0007131,0.60,0.99,NULL,2007,2020,ALL
238,C0027819,0.70,0.96,NULL,2000,2020,ALL
238,C0152013,0.70,0.98,NULL,2008,2020,ALL
238,C0206180,0.60,0.97,NULL,1995,2020,ALL
238,C0334121,0.70,0.97,NULL,1999,2019,ALL
238,C2751681,0.60,1.00,definitive,2008,2012,ALL
249,C0020630,0.70,1.00,strong,1992,2020,ALL
249,C0220743,0.93,1.00,NULL,1992,2019,ALL
249,C0268412,1.00,1.00,NULL,1987,2019,ALL
249,C0268413,0.95,0.98,NULL,1988,2019,ALL
249,C1840322,0.61,1.00,NULL,1995,2015,ALL
249,C2673477,0.60,1.00,NULL,1995,2013,ALL
265,C1845053,0.60,1.00,strong,1993,2004,ALL
268,C1849930,0.80,0.96,strong,1991,2020,ALL
269,C1849930,0.89,1.00,strong,1996,2019,ALL
270,C3714933,0.70,1.00,limited,2000,2016,ALL
274,C0410204,0.73,1.00,NULL,2007,2018,ALL
275,C0751748,0.80,1.00,definitive,1983,2019,ALL
283,C2678468,0.70,1.00,strong,2004,2015,ALL
286,C2674218,0.91,1.00,strong,1980,2011,ALL
287,C1970119,0.75,1.00,NULL,2003,2017,ALL
288,C0005586,0.70,1.00,NULL,2008,2020,ALL
288,C3809672,0.70,1.00,limited,2013,2013,ALL
291,C1836460,0.70,1.00,strong,2000,2017,ALL
291,C3809443,0.70,1.00,strong,2005,2017,ALL
291,C4310676,0.70,1.00,strong,2016,2017,ALL
301,C0027627,0.60,0.96,NULL,1998,2019,ALL
324,C0009375,0.60,0.95,NULL,1990,2019,ALL
324,C0009402,0.80,0.97,strong,1990,2020,ALL
324,C0009404,0.90,0.98,NULL,1990,2019,ALL
324,C0024623,0.70,0.95,NULL,1992,2019,ALL
324,C0025149,0.70,1.00,NULL,1995,2020,ALL
324,C0032580,1.00,0.96,strong,1989,2020,ALL
324,C0038356,0.64,1.00,NULL,1993,2019,ALL
324,C0079218,0.80,1.00,NULL,1993,2019,ALL
324,C0206624,0.70,0.95,NULL,1995,2019,ALL
324,C0376358,0.70,0.96,NULL,1994,2019,ALL
324,C1851124,0.64,1.00,strong,1996,2011,ALL
324,C2239176,0.70,0.96,NULL,1993,2019,ALL
326,C0085859,1.00,0.99,NULL,1991,2020,ALL
326,C1855869,0.60,1.00,NULL,2002,2007,ALL
326,C3494489,0.60,0.99,NULL,1999,2020,ALL
330,C0242647,0.60,0.97,NULL,1999,2016,ALL
331,C1845076,0.69,1.00,strong,2009,2020,ALL
335,C0020538,0.70,1.00,NULL,2002,2019,ALL
335,C0268389,0.70,1.00,NULL,1988,2019,ALL
335,C1704429,0.56,1.00,strong,1986,2016,ALL
338,C0015695,0.70,1.00,NULL,2001,2018,ALL
338,C0020443,0.90,0.99,strong,1987,2019,ALL
338,C0020445,0.70,0.99,strong,1979,2019,ALL
338,C0020557,0.60,1.00,NULL,1991,2019,ALL
338,C1704417,0.80,0.99,definitive,1978,2018,ALL
338,C4551990,0.71,1.00,strong,1989,2018,ALL
344,C1720779,0.75,1.00,NULL,1993,2017,ALL
345,C3151467,0.61,1.00,NULL,1991,2016,ALL
348,C0002395,0.70,0.95,NULL,1991,2020,ALL
348,C0010068,0.70,0.97,NULL,1983,2019,ALL
348,C0020443,0.70,0.96,NULL,1985,2019,ALL
348,C0020473,0.60,0.96,NULL,1979,2020,ALL
348,C0020479,0.80,0.98,strong,1977,2020,ALL
348,C0020538,0.70,0.90,NULL,1994,2019,ALL
348,C0036341,0.60,0.78,NULL,1995,2019,ALL
348,C0036489,0.70,1.00,strong,2000,2014,ALL
348,C0745103,0.60,0.89,NULL,1989,2020,ALL
348,C1863051,0.80,0.96,strong,1985,2017,ALL
348,C2673196,0.80,0.95,strong,1997,2020,ALL
351,C0002395,0.90,0.98,NULL,1987,2020,ALL
351,C0338656,0.60,0.98,NULL,1993,2020,ALL
351,C0497327,0.70,0.96,strong,1993,2020,ALL
351,C2751536,0.70,1.00,NULL,1990,2010,ALL
351,C2931672,0.60,1.00,NULL,1990,2019,ALL
353,C0268120,1.00,1.00,NULL,1986,2016,ALL
353,C3665382,0.80,1.00,NULL,1985,2012,ALL
355,C0007137,0.60,0.92,NULL,1999,2014,ALL
355,C1328840,1.00,1.00,strong,1978,2018,ALL
356,C1328840,0.89,1.00,strong,1984,2017,ALL
358,C0020538,0.55,1.00,NULL,2010,2019,ALL
359,C0162283,0.90,1.00,strong,1988,2020,ALL
359,C1563706,0.70,1.00,strong,1994,2016,ALL
362,C1838359,0.70,1.00,moderate,1996,2016,ALL
367,C0006142,0.60,0.95,NULL,1990,2020,ALL
367,C0007112,0.60,1.00,NULL,2002,2019,ALL
367,C0020538,0.55,1.00,NULL,1999,2019,ALL
367,C0033578,0.60,1.00,NULL,1990,2019,ALL
367,C0039585,1.00,0.97,NULL,1970,2019,ALL
367,C0268301,0.80,0.99,NULL,1984,2019,ALL
367,C0376358,1.00,0.98,limited,1992,2020,ALL
367,C0936016,0.60,0.96,NULL,1970,2019,ALL
367,C1839259,0.70,0.99,NULL,1990,2019,ALL
368,C0033847,1.00,0.98,NULL,1978,2020,ALL
368,C1859727,0.58,1.00,NULL,2011,2020,ALL
368,C1867450,0.60,1.00,NULL,1978,2016,ALL
368,C3276161,0.60,1.00,NULL,2000,2012,ALL
383,C0268548,1.00,1.00,definitive,1944,2020,ALL
410,C0023522,1.00,0.98,NULL,1975,2019,ALL
410,C2713319,0.57,1.00,strong,1980,2019,ALL
411,C0026709,1.00,1.00,strong,1979,2019,ALL
412,C0079588,0.80,0.97,NULL,1978,2019,ALL
412,C2717836,0.60,0.91,NULL,1978,2018,ALL
412,C2720163,0.60,0.98,NULL,1979,2017,ALL
427,C0268255,1.00,1.00,strong,1989,2019,ALL
427,C1834569,0.75,1.00,strong,2012,2019,ALL
429,C1275808,0.61,1.00,limited,2003,2003,ALL
435,C0268547,1.00,1.00,definitive,1976,2019,ALL
440,C3809971,0.73,1.00,definitive,1968,2019,ALL
443,C0206307,1.00,0.97,strong,1990,2020,ALL
445,C0175683,0.90,1.00,definitive,1982,2020,ALL
445,C0751751,0.55,1.00,definitive,1982,2017,ALL
445,C4721769,0.80,1.00,definitive,1982,2019,ALL
462,C0272375,1.00,0.99,strong,1984,2019,ALL
471,C1837530,0.70,1.00,strong,2004,2004,ALL
472,C0004135,1.00,0.98,NULL,1953,2020,ALL
472,C0005684,0.69,1.00,NULL,2008,2017,ALL
472,C0005695,0.58,1.00,NULL,2008,2017,ALL
472,C0006142,0.70,0.93,NULL,1996,2020,ALL
472,C0017638,0.60,0.94,strong,2001,2019,ALL
472,C0023418,0.90,1.00,strong,1998,2018,ALL
472,C0023434,0.70,0.97,NULL,1998,2019,ALL
472,C0024299,0.90,0.96,strong,1998,2020,ALL
472,C0024623,0.60,1.00,NULL,1998,2019,ALL
472,C0334634,0.80,1.00,NULL,1999,2017,ALL
473,C4310772,0.71,1.00,NULL,2015,2018,ALL
476,C0020538,0.56,1.00,NULL,1994,2015,ALL
476,C4747974,0.70,1.00,strong,2018,2018,ALL
477,C1865322,0.80,1.00,NULL,2003,2020,ALL
477,C3549447,0.61,1.00,NULL,2003,2020,ALL
478,C0338488,0.90,0.98,NULL,2009,2019,ALL
478,C1832466,0.80,1.00,strong,2012,2019,ALL
478,C1868681,0.80,0.98,NULL,2004,2019,ALL
478,C3553788,0.61,1.00,strong,2004,2017,ALL
488,C0018801,0.60,0.93,NULL,1996,2019,ALL
488,C0018802,0.80,0.93,strong,1996,2019,ALL
488,C0022595,1.00,0.97,limited,1999,2018,ALL
488,C0265971,0.74,1.00,NULL,2003,2017,ALL
490,C0020538,0.70,0.97,NULL,1999,2019,ALL
498,C3808899,0.70,1.00,moderate,2013,2013,ALL
498,C4015062,0.70,1.00,moderate,2013,2013,ALL
501,C1849508,0.80,1.00,definitive,2006,2020,ALL
525,C0403554,0.70,1.00,definitive,1999,2017,ALL
538,C0022716,1.00,1.00,definitive,1953,2019,ALL
538,C0268353,0.80,1.00,strong,1996,2019,ALL
538,C1845359,0.90,1.00,NULL,2004,2012,ALL
540,C0019202,1.00,0.98,definitive,1983,2020,ALL
545,C0265202,0.80,1.00,strong,2003,2018,ALL
545,C3281203,0.70,1.00,NULL,1990,2012,ALL
545,C4551474,0.61,1.00,NULL,2003,2009,ALL
546,C0585216,0.71,1.00,moderate,2003,2006,ALL
